Territory,Restaurant ID,Order ID,Order Time,Order Status,Item Name,Customizations,Special Instructions,Item Price,Order Price,Currency
p,2b6d087a-470a-4ec9-8329-b0cdffbc1b3a,5102c450-0423-4258-9904-7417e21cf3ed,2020-11-27 21:13:52 +0000 UTC,completed,Combo (Chicken and Gyro) Platter,"Regular, No Lettuce, No Tomatoes, Chopped Green Peppers, Jalapenos",,10.95,26.51,USD
p,2b6d087a-470a-4ec9-8329-b0cdffbc1b3a,5102c450-0423-4258-9904-7417e21cf3ed,2020-11-27 21:13:52 +0000 UTC,completed,Chicken Platter,"Regular, No Pita, Chopped Onions",,10.95,26.51,USD
p,2b6d087a-470a-4ec9-8329-b0cdffbc1b3a,a45dc87d-e601-41aa-9918-99aedd0e5946,2020-11-20 21:00:52 +0000 UTC,completed,Chicken Platter,"Regular, Chopped Onions",,10.95,26.51,USD
p,2b6d087a-470a-4ec9-8329-b0cdffbc1b3a,a45dc87d-e601-41aa-9918-99aedd0e5946,2020-11-20 21:00:52 +0000 UTC,completed,Combo (Chicken and Gyro) Platter,"Regular, Chopped Green Peppers, Jalapenos",,10.95,26.51,USD
p,2b6d087a-470a-4ec9-8329-b0cdffbc1b3a,7d862b14-2718-4d9d-8487-00a92c4388c6,2020-11-14 00:02:59 +0000 UTC,completed,Chicken Platter,"Regular, Chopped Onions",,10.95,14.93,USD
p,2b6d087a-470a-4ec9-8329-b0cdffbc1b3a,957705c2-4f78-4ba4-964b-e4c0984446cf,2020-11-09 05:02:50 +0000 UTC,completed,Chicken Platter,"Regular, Chopped Onions","No pita bread, extra rice instead",10.95,24.93,USD
p,2b6d087a-470a-4ec9-8329-b0cdffbc1b3a,957705c2-4f78-4ba4-964b-e4c0984446cf,2020-11-09 05:02:50 +0000 UTC,completed,Combo Platter,"Small (Default Small- if regular not selected), Gyro & Chicken, Gyro, No Lettuce, No Tomatoes, Sliced Jalapenos, Green Bell Peppers",,10.95,24.93,USD
p,2b6d087a-470a-4ec9-8329-b0cdffbc1b3a,5086ec4c-49d9-47cc-8867-b654d4f8736d,2020-11-06 22:31:56 +0000 UTC,completed,Chicken Platter,"Regular, Chopped Onions","No pita bread, extra rice instead",10.95,17.44,USD
p,2b6d087a-470a-4ec9-8329-b0cdffbc1b3a,5086ec4c-49d9-47cc-8867-b654d4f8736d,2020-11-06 22:31:56 +0000 UTC,completed,Fries,,,3.49,17.44,USD
p,2b6d087a-470a-4ec9-8329-b0cdffbc1b3a,7b3ecedc-76f4-4346-8ed1-1e053c84730f,2020-10-30 21:55:49 +0000 UTC,completed,Combo Platter,"Small (Default Small- if regular not selected), Gyro & Chicken, Gyro, No Lettuce, No Tomatoes, Sliced Jalapenos, Green Bell Peppers",,10.95,24.93,USD
p,2b6d087a-470a-4ec9-8329-b0cdffbc1b3a,7b3ecedc-76f4-4346-8ed1-1e053c84730f,2020-10-30 21:55:49 +0000 UTC,completed,Chicken Platter,"Regular, Chopped Onions","No pita bread, extra rice instead",10.95,24.93,USD
p,2b6d087a-470a-4ec9-8329-b0cdffbc1b3a,1b044928-d2fa-4e37-802d-4336d0d449f0,2020-10-23 22:39:11 +0000 UTC,completed,Fries,,,3.49,17.26,USD
p,2b6d087a-470a-4ec9-8329-b0cdffbc1b3a,1b044928-d2fa-4e37-802d-4336d0d449f0,2020-10-23 22:39:11 +0000 UTC,completed,Chicken Platter,"Regular, Chopped Onions","No pita bread, extra rice instead",10.95,17.26,USD
p,2b6d087a-470a-4ec9-8329-b0cdffbc1b3a,c24efcdb-fefe-4ea2-b6f7-ee88ad7a5ff1,2020-10-19 22:31:29 +0000 UTC,completed,Fries,,,3.49,17.26,USD
p,2b6d087a-470a-4ec9-8329-b0cdffbc1b3a,c24efcdb-fefe-4ea2-b6f7-ee88ad7a5ff1,2020-10-19 22:31:29 +0000 UTC,completed,Chicken Platter,"Regular, Chopped Onions","No pita bread, extra rice instead",10.95,17.26,USD
p,2b6d087a-470a-4ec9-8329-b0cdffbc1b3a,52cf70cd-316d-4be9-a5e2-7682f361f73f,2020-10-09 22:10:42 +0000 UTC,completed,Chicken Platter,"Regular, Chopped Onions","No pita bread, extra rice instead",10.95,17.26,USD
p,2b6d087a-470a-4ec9-8329-b0cdffbc1b3a,52cf70cd-316d-4be9-a5e2-7682f361f73f,2020-10-09 22:10:42 +0000 UTC,completed,Fries,,,3.49,17.26,USD
p,2b6d087a-470a-4ec9-8329-b0cdffbc1b3a,a31d1faf-008f-4e2b-9b92-50124b6c9d4d,2020-10-02 20:58:55 +0000 UTC,completed,Chicken Platter,"Regular, Chopped Onions","No pita bread, extra rice instead",10.95,17.26,USD
p,2b6d087a-470a-4ec9-8329-b0cdffbc1b3a,a31d1faf-008f-4e2b-9b92-50124b6c9d4d,2020-10-02 20:58:55 +0000 UTC,completed,Fries,,,3.49,17.26,USD
p,5c2b16b7-9ad2-4b36-9c5b-da1730c8f006,fd4d4f4d-83b1-4119-b5a8-638f0093620a,2020-09-27 03:50:42 +0000 UTC,completed,Large Oreo® Shake,,,4.99,29.86,USD
p,5c2b16b7-9ad2-4b36-9c5b-da1730c8f006,fd4d4f4d-83b1-4119-b5a8-638f0093620a,2020-09-27 03:50:42 +0000 UTC,completed,Tiny Tacos (15 pcs),,,3.75,29.86,USD
p,5c2b16b7-9ad2-4b36-9c5b-da1730c8f006,fd4d4f4d-83b1-4119-b5a8-638f0093620a,2020-09-27 03:50:42 +0000 UTC,completed,Tiny Tacos (15 pcs),,,3.75,29.86,USD
p,5c2b16b7-9ad2-4b36-9c5b-da1730c8f006,fd4d4f4d-83b1-4119-b5a8-638f0093620a,2020-09-27 03:50:42 +0000 UTC,completed,5 pc Spicy Chicken Strips,Add Buttermilk Ranch Sauce,,7.11,29.86,USD
